checkpoint,train_seed,method,AUROC,AUPR,FPR95
weights/debug_proto_only\cora_gnn_seed42.pth,42,prototype_energy,0.7714589512906624,0.7808487495675724,0.7326869806094183
weights/debug_proto_only\cora_gnn_seed42.pth,42,prototype_msp,0.7784699580810432,0.7741776691737914,0.5817174515235457
weights/debug_proto_only\cora_gnn_seed42.pth,42,negative_max_logit,0.7715294290687127,0.7779803123395019,0.7326869806094183
weights/debug_proto_only\cora_gnn_seed42.pth,42,cosine_distance,0.7715263648174933,0.7779788154657685,0.7326869806094183
weights/debug_proto_only\cora_gnn_seed42.pth,42,mahalanobis_energy,0.7147787304194346,0.7059372345252506,0.7576177285318559
weights/debug_proto_only\cora_gnn_seed42.pth,42,mahalanobis_min_distance,0.7147848589218739,0.7060224665634645,0.7576177285318559
weights/debug_proto_only\cora_gnn_seed43.pth,43,prototype_energy,0.7226048280342215,0.7439300119645085,0.8601108033240997
weights/debug_proto_only\cora_gnn_seed43.pth,43,prototype_msp,0.7282606697227466,0.7443404501053388,0.739612188365651
weights/debug_proto_only\cora_gnn_seed43.pth,43,negative_max_logit,0.7224546797244625,0.7443858817524712,0.8601108033240997
weights/debug_proto_only\cora_gnn_seed43.pth,43,cosine_distance,0.7224523815360478,0.7443849130939784,0.8601108033240997
weights/debug_proto_only\cora_gnn_seed43.pth,43,mahalanobis_energy,0.6735515284485084,0.683425818156609,0.8337950138504155
weights/debug_proto_only\cora_gnn_seed43.pth,43,mahalanobis_min_distance,0.6735300786899714,0.6833684752508702,0.8337950138504155
weights/debug_proto_only\cora_gnn_seed44.pth,44,prototype_energy,0.7716405081754222,0.8045928319223032,0.7617728531855956
weights/debug_proto_only\cora_gnn_seed44.pth,44,prototype_msp,0.7790851065133724,0.7974044262275409,0.7811634349030471
weights/debug_proto_only\cora_gnn_seed44.pth,44,negative_max_logit,0.7714122214595642,0.8010235168605115,0.7617728531855956
weights/debug_proto_only\cora_gnn_seed44.pth,44,cosine_distance,0.7714145196479788,0.8010236917465764,0.7617728531855956
weights/debug_proto_only\cora_gnn_seed44.pth,44,mahalanobis_energy,0.7176913012036379,0.7105558787004873,0.8116343490304709
weights/debug_proto_only\cora_gnn_seed44.pth,44,mahalanobis_min_distance,0.7177740359865664,0.7108471348927645,0.8116343490304709
weights/debug_proto_only\cora_gnn_seed45.pth,45,prototype_energy,0.774556143210845,0.7874796863364553,0.7368421052631579
weights/debug_proto_only\cora_gnn_seed45.pth,45,prototype_msp,0.7902933714117618,0.7926406979586266,0.5831024930747922
weights/debug_proto_only\cora_gnn_seed45.pth,45,negative_max_logit,0.7754577991322041,0.7886824585384357,0.7368421052631579
weights/debug_proto_only\cora_gnn_seed45.pth,45,cosine_distance,0.775458565195009,0.7886826749159328,0.7368421052631579
weights/debug_proto_only\cora_gnn_seed45.pth,45,mahalanobis_energy,0.7334683646704092,0.7083542197607837,0.7132963988919667
weights/debug_proto_only\cora_gnn_seed45.pth,45,mahalanobis_min_distance,0.7334499791630917,0.7083400935959377,0.7132963988919667
weights/debug_proto_only\cora_gnn_seed46.pth,46,prototype_energy,0.7277022099379796,0.740405897550652,0.832409972299169
weights/debug_proto_only\cora_gnn_seed46.pth,46,prototype_msp,0.7219276285146962,0.7366298890837886,0.8988919667590027
weights/debug_proto_only\cora_gnn_seed46.pth,46,negative_max_logit,0.7276585443581007,0.738131532923828,0.832409972299169
weights/debug_proto_only\cora_gnn_seed46.pth,46,cosine_distance,0.7276662049861495,0.7381344690375576,0.832409972299169
weights/debug_proto_only\cora_gnn_seed46.pth,46,mahalanobis_energy,0.6673303324099724,0.6700234789059033,0.8296398891966759
weights/debug_proto_only\cora_gnn_seed46.pth,46,mahalanobis_min_distance,0.6673441215404603,0.6700989898797196,0.8296398891966759
